"DRUGA","DRUGB","WEIGHT"
"3822","12462","1"
"4092","4093","1"
"1984","3906","1"
"4092","4094","1"
"4092","4095","1"
"4051","5368","1"
"4092","4097","1"
"4092","4096","1"
"1990","3735","1"
"1877","7240","1"
"3172","32636","1"
"4093","4094","1"
"4093","4095","1"
"1380","22663","1"
"840","39404","1"
"4093","4097","1"
"1813","9243","1"
"4093","4096","1"
"865","38636","1"
"1996","3577","1"
"1955","4854","1"
"3846","11780","1"
"4094","4095","1"
"4094","4096","1"
"4094","4097","1"
"1615","15422","1"
"1956","4854","1"
"11693","30688","1"
"1996","3627","1"
"4095","4096","1"
"842","39404","1"
"2022","2825","1"
"4095","4097","1"
"1208","28081","1"
"4096","4097","1"
"0","2","1"
"0","14","1"
"7866","18318","1"
"1785","10222","1"
"1785","10223","1"
"1785","10224","1"
"1421","21512","1"
"1421","21513","1"
"0","29","1"
"0","31","1"
"865","38753","1"
"865","38754","1"
"865","38755","1"
"865","38756","1"
"865","38757","1"
"865","38758","1"
"865","38759","1"
"1820","9155","1"
"865","38760","1"
"45057","45058","1"
"2045","2189","1"
"2029","2700","1"
"2","6","1"
"2","8","1"
"2","11","1"
"2","12","2"
"2","13","1"
"2","14","11"
"7724","22774","1"
"2","18","9"
"2","20","3"
"2","27","5"
"2","28","1"
"2","30","6"
"2","31","9"
"2","33","2"
"2","40","3"
"2","46","1"
"2","50","1"
"2","51","1"
"2","52","1"
"2","53","1"
"2","54","1"
"2","57","1"
"1046","33230","1"
"1932","5765","1"
"2","60","7"
"2","64","1"
"2","65","6"
"2","66","1"
"1820","9243","1"
"2","69","1"
"14314","15150","1"
"0","133","1"
"0","131","1"
"2","68","2"
"2","75","3"
"2","76","12"
"2","77","1"
"4","15","1"
"3903","10217","1"
"2","80","5"
"2","81","3"
"4","20","1"
"0","144","2"
"0","145","2"
"1729","12084","1"
"2","83","2"
"0","149","1"
"2","78","1"
"2","86","1"
"2","90","1"
"2","85","2"
"2","82","1"
"1997","3774","1"
"2","94","5"
"4","33","2"
"1434","21241","1"
"2","98","1"
"2","84","1"
"2","74","1"
"4","40","1"
"4","51","1"
"894","37997","1"
"1997","3804","1"
"2","118","2"
"2","119","9"
"2","120","1"
"0","183","1"
"2","126","1"
"2","129","4"
"2","131","12"
"2","132","1"
"2","133","10"
"4","69","1"
"2","135","1"
"2","136","2"
"6","13","1"
"6","14","2"
"3620","19056","1"
"2","143","1"
"4","82","1"
"2","144","7"
"2","145","3"
"2","147","12"
"4","85","2"
"2","149","3"
"2","150","1"
"4089","4523","1"
"6","27","1"
"1996","3875","1"
"2","154","4"
"2","155","2"
"4","94","1"
"2964","39404","1"
"2048","2258","1"
"6","20","2"
"2","162","4"
"2","164","1"
"2","165","4"
"2","166","1"
"2","168","3"
"6","44","1"
"2","172","3"
"6","49","3"
"2","174","1"
"6","51","1"
"2","175","2"
"1853","8330","1"
"2","179","1"
"677","44791","1"
"4","119","2"
"677","44792","1"
"1568","17170","1"
"1302","25414","1"
"4","123","1"
"2","186","2"
"2","187","1"
"18318","22217","1"
"6","65","3"
"2","191","5"
"0","248","4"
"6","69","9"
"0","253","1"
"0","251","1"
"2","196","1"
"2","198","2"
"2","184","1"
"2","200","3"
"4","133","1"
"6","68","2"
"5854","15400","1"
"6","81","1"
"4","144","1"
"6","82","1"
"4","143","1"
"1939","5696","1"
"2","212","1"
"6","89","2"
"3259","30309","1"
"2","216","3"
"4","154","1"
"6","94","3"
"2","219","2"
"2","220","1"
"2","221","3"
"0","284","1"
"6","99","1"
"1968","4815","1"
"6","102","1"
"10249","10250","1"
"10249","10251","1"
"10249","10252","1"
"10249","10253","1"
"10249","10254","1"
"10249","10255","1"
"2797","44657","1"
"11419","39519","1"
"10181","12368","1"
"2","238","1"
"2","239","2"
"1990","4138","1"
"2048","2351","1"
"2","242","1"
"2","243","1"
"1096","31866","1"
"1096","31867","1"
"6","123","2"
"2","248","8"
"6","125","2"
"2","247","1"
"2","251","3"
"1312","25177","1"
"2","253","13"
"6","130","1"
"2048","2365","1"
"6","133","1"
"20490","20491","4"
"10250","10252","1"
"10250","10253","1"
"10250","10254","1"
"10250","10255","1"
"1863","8107","1"
"6","136","1"
"2","267","3"
"10","20","2"
"10250","10251","1"
"6","118","1"
"6","147","1"
"10","24","1"
"6","149","1"
"4","211","1"
"10","26","1"
"2","276","2"
"10","14","2"
"4","216","1"
"10","28","1"
"4","218","1"
"10","33","2"
"10","31","1"
"6","156","1"
"2","284","1"
"10","36","1"
"6","162","1"
"10","11","1"
"0","335","1"
"2","286","1"
"6","166","3"
"10251","10252","1"
"10251","10253","1"
"10251","10254","1"
"2","294","1"
"10251","10255","1"
"6","172","1"
"4","235","1"
"6","173","2"
"11","20","1"
"10","51","1"
"6","171","1"
"11","14","1"
"6","144","1"
"2","262","2"
"2059","2067","1"
"2","273","1"
"4","248","1"
"3987","7847","1"
"11","33","1"
"4","253","1"
"6","191","1"
"10","69","1"
"2","317","2"
"6","192","1"
"4","258","1"
"18355","21202","1"
"10","73","1"
"10252","10253","1"
"10252","10254","1"
"10252","10255","1"
"2","325","2"
"12","17","1"
"10","80","1"
"12","14","2"
"10","84","1"
"12","24","2"
"1999","3873","1"
"0","399","1"
"10","76","4"
"10","94","2"
"10","95","1"
"2055","2238","1"
"4","284","1"
"2","346","1"
"2","349","1"
"10","102","1"
"0","413","1"
"12","43","2"
"12","44","1"
"24589","24590","1"
"24589","24591","1"
"10253","10255","1"
"13","14","2"
"12","50","4"
"2","360","1"
"12","52","5"
"12","51","4"
"10253","10254","1"
"6","242","1"
"12","57","5"
"10","119","1"
"13","28","1"
"2","367","2"
"10","123","2"
"2","372","3"
"13","31","2"
"12","54","1"
"12","65","2"
"9845","22922","1"
"2","377","1"
"12","68","2"
"12","69","2"
"2","365","1"
"1785","10629","1"
"2","376","1"
"11","76","2"
"12","59","1"
"4","323","1"
"11","97","1"
"24590","24591","1"
"10254","10255","1"
"3841","12452","1"
"14","18","1"
"10","133","2"
"12","82","1"
"14","20","4"
"12","84","1"
"0","457","1"
"1932","6096","1"
"14","25","1"
"10","149","1"
"2","399","2"
"12","90","2"
"14","29","1"
"14","30","3"
"14","31","6"
"10","156","1"
"2","405","1"
"13","65","2"
"10","144","3"
"12","98","1"
"13","68","2"
"13","69","2"
"10","162","2"
"10","164","1"
"10","165","1"
"2","414","1"
"14","43","1"
"3897","10742","1"
"13","76","1"
"13","77","3"
"2","418","2"
"10","172","1"
"14","28","2"
"1800","10217","1"
"15","20","2"
"14","51","2"
"14","53","1"
"13","85","1"
"13","83","1"
"2","413","2"
"4","367","1"
"2","430","1"
"13","90","1"
"2","431","1"
"1616","15925","1"
"2","434","1"
"13","94","2"
"12","125","1"
"15","33","1"
"10","180","1"
"12","126","1"
"14","68","4"
"12","131","2"
"14","69","4"
"14","26","1"
"2","444","2"
"6","321","1"
"14","73","2"
"6","323","1"
"14","76","12"
"6","325","1"
"14","77","5"
"12","138","1"
"14","80","8"
"14","81","2"
"12","144","3"
"14","82","1"
"2","420","1"
"12","147","4"
"10","200","1"
"13","118","1"
"13","119","1"
"4","399","1"
"14","90","1"
"11944","23474","1"
"13","123","1"
"12","154","3"
"14","94","5"
"10","218","1"
"10","219","1"
"2","469","1"
"4","402","1"
"14","99","1"
"13","125","1"
"4","408","1"
"2","474","1"
"15","51","1"
"13","120","1"
"11","198","1"
"6","344","1"
"6065","9119","1"
"11","180","1"
"4","419","1"
"12","172","1"
"14","33","1"
"12","119","1"
"13","144","1"
"1637","15337","1"
"12","176","1"
"13","147","3"
"6","365","1"
"17","25","1"
"14","119","7"
"0","553","1"
"14","120","1"
"15","85","1"
"15","82","1"
"14","123","1"
"14","125","3"
"14","126","3"
"2","496","1"
"2029","3184","1"
"14","129","5"
"2","502","2"
"14","131","4"
"10","246","1"
"14","133","5"
"13","165","2"
"15","94","1"
"14","136","2"
"10","261","1"
"12","200","2"
"14","138","1"
"13","156","1"
"2","485","1"
"1294","25997","1"
"14","143","1"
"14","144","13"
"14","145","7"
"10","267","4"
"2","519","2"
"2","520","3"
"14","149","5"
"14","150","3"
"2","522","1"
"2","509","3"
"12","205","1"
"12","216","3"
"14","155","1"
"18","31","1"
"14","154","3"
"10","282","1"
"14","156","2"
"13","191","5"
"1294","25996","1"
"14","162","3"
"2","534","1"
"14","164","2"
"15","119","1"
"13","176","3"
"15","133","1"
"0","602","1"
"15","123","1"
"13","200","2"
"14","171","1"
"6","420","1"
"2","544","2"
"14","174","1"
"15","143","1"
"14","176","1"
"13","202","1"
"15","144","1"
"14","179","1"
"12","242","2"
"2","553","1"
"12","241","1"
"14","180","1"
"18","60","1"
"13","216","1"
"12","248","2"
"14","187","1"
"15","154","1"
"16","127","1"
"18","65","2"
"14","191","2"
"14","192","1"
"12","255","1"
"1847","8907","1"
"12","256","1"
"2","558","9"
"2","569","4"
"2","570","1"
"14","198","1"
"12","262","1"
"2","573","1"
"2","559","1"
"13","98","1"
"13","235","2"
"14","205","1"
"1919","6672","1"
"14","186","1"
"11","246","1"
"18","30","1"
"896","38389","1"
"20","25","1"
"0","646","2"
"18","68","1"
"20","28","3"
"6","427","2"
"16","154","1"
"14","216","3"
"14","218","2"
"14","219","2"
"14","220","1"
"2","592","1"
"20","33","5"
"20","31","5"
"17","131","1"
"10","349","2"
"17","133","2"
"13","248","3"
"18","94","2"
"20","43","1"
"13","251","1"
"13","262","1"
"10","346","1"
"20","44","2"
"20","27","2"
"2","607","2"
"2","602","8"
"20","51","3"
"13","268","1"
"12","291","1"
"12","287","1"
"1996","4280","1"
"15","211","1"
"14","243","3"
"18","119","3"
"18","120","2"
"20","60","2"
"15","216","1"
"14","248","3"
"2","620","1"
"15","218","1"
"14","251","4"
"20","65","4"
"14","253","2"
"10","372","7"
"20","68","9"
"10","380","1"
"18","133","3"
"20","66","1"
"11","349","1"
"6","502","1"
"15","220","1"
"20","76","6"
"14","262","6"
"14","264","3"
"17","172","1"
"15","235","2"
"14","267","4"
"2","640","1"
"20","82","2"
"14","269","1"
"20","85","1"
"12","324","1"
"2","645","1"
"14","273","1"
"10","399","3"
"20","90","1"
"2","646","4"
"20","77","1"
"15","248","1"
"20","94","4"
"20","80","1"
"3088","36024","1"
"14","268","2"
"14","284","1"
"2","657","1"
"6","498","1"
"10","408","1"
"4","598","1"
"18","165","1"
"12","349","1"
"14","263","1"
"11","364","1"
"14","293","1"
"14","294","1"
"3063","36847","1"
"20","74","1"
"11","335","1"
"1730","12638","1"
"12","346","2"
"14","300","1"
"14","246","1"
"10","426","1"
"13","334","1"
"7866","19036","1"
"20","119","3"
"20","120","1"
"20","118","1"
"12","367","2"
"20","123","6"
"20","124","1"
"2067","2203","1"
"11","399","1"
"20","126","1"
"20","125","1"
"6","563","1"
"12","312","1"
"20","131","2"
"2","599","1"
"20","133","2"
"2067","2213","1"
"2","692","1"
"20","136","2"
"20","137","1"
"16","262","1"
"14","325","1"
"12","387","1"
"0","758","1"
"20","64","1"
"20","143","1"
"20","144","7"
"10","364","1"
"4","642","1"
"4051","6258","1"
"12","396","1"
"17","242","1"
"20","149","1"
"12","399","2"
"14","338","1"
"2","711","1"
"20","154","2"
"17","248","2"
"2067","2235","3"
"20","156","3"
"20","155","2"
"14","335","2"
"12","408","1"
"4","657","1"
"20","162","3"
"2","721","1"
"1453","21277","1"
"20","164","2"
"20","166","2"
"12","414","2"
"20","165","2"
"4","659","1"
"4","656","1"
"24","44","1"
"20","172","4"
"14","349","2"
"11","425","1"
"2","723","1"
"11","202","1"
"18","239","2"
"17","271","1"
"14","364","2"
"20","135","1"
"24","57","1"
"14","367","1"
"12","431","2"
"10","493","1"
"13","399","1"
"14","372","5"
"18","248","2"
"2","746","2"
"24","65","1"
"23","52","2"
"800","41271","1"
"14","378","2"
"4","689","1"
"2059","2385","1"
"13","412","1"
"20","195","2"
"13","414","2"
"20","198","1"
"14","357","1"
"6006","11242","1"
"20","200","2"
"5468","27912","1"
"12","450","1"
"13","421","2"
"1918","6848","1"
"2","758","2"
"20","192","1"
"18","80","1"
"2","767","1"
"2067","2289","1"
"20","211","1"
"15","367","1"
"14","399","3"
"14","400","1"
"24","90","1"
"20","216","6"
"15","372","2"
"24","94","1"
"14","405","1"
"20","220","2"
"20","218","4"
"24","95","1"
"15","378","1"
"26","28","1"
"20","225","1"
"24","102","1"
"14","412","1"
"17","321","1"
"2","787","4"
"10","264","1"
"2","774","4"
"25","77","1"
"3987","8292","1"
"12","467","2"
"20","235","2"
"25","81","1"
"12","430","2"
"26","52","1"
"26","53","1"
"25","82","1"
"25","76","1"
"2","800","3"
"10","202","1"
"14","430","1"
"14","431","3"
"27","28","1"
"20","247","1"
"20","248","4"
"27","31","4"
"27","30","2"
"20","251","1"
"25","94","1"
"15","408","1"
"26","68","2"
"4","751","1"
"26","69","2"
"15","402","1"
"14","444","1"
"15","399","1"
"12","493","1"
"25","51","2"
"24","138","1"
"14","98","2"
"20","264","2"
"17","357","1"
"25","66","1"
"20","267","3"
"24","144","3"
"13","486","1"
"14","450","1"
"17","364","1"
"1999","4431","1"
"9283","40797","1"
"13","491","1"
"3067","36889","1"
"15","431","1"
"13","494","1"
"2076","2077","1"
"20","279","1"
"26","94","2"
"28","33","1"
"20","282","1"
"10","590","1"
"20","284","1"
"13","502","3"
"25","125","1"
"20","287","1"
"25","133","2"
"6","723","1"
"25","135","1"
"20","291","1"
"4","773","1"
"14","464","1"
"20","294","1"
"27","77","1"
"27","76","3"
"2","840","2"
"27","80","1"
"14","475","1"
"28","31","2"
"4","787","1"
"25","119","2"
"18","40","1"
"26","90","1"
"2067","2293","1"
"13","522","2"
"14","493","2"
"14","494","1"
"27","64","2"
"29","31","1"
"10","620","2"
"28","64","2"
"2","871","1"
"0","934","1"
"12","563","2"
"28","68","4"
"28","69","4"
"27","98","1"
"25","164","2"
"2","878","3"
"2048","2974","1"
"14","508","1"
"4116","4364","1"
"28","76","3"
"10","635","1"
"20","325","2"
"25","172","2"
"27","90","1"
"26","133","2"
"14","510","2"
"20","78","1"
"2022","3806","1"
"28","85","1"
"14","520","3"
"14","521","2"
"27","119","1"
"20","147","1"
"12","586","2"
"14","519","2"
"24","216","1"
"30","31","3"
"28","94","2"
"24","219","1"
"20","344","1"
"12","592","1"
"20","346","2"
"26","155","1"
"2","905","1"
"27","129","1"
"26","164","2"
"27","133","1"
"29","73","1"
"28","90","1"
"14","540","1"
"29","76","2"
"13","573","1"
"26","171","1"
"3195","32869","1"
"14","425","1"
"27","143","1"
"30","51","1"
"27","144","4"
"27","125","1"
"17","412","1"
"2","923","1"
"26","180","1"
"15","522","1"
"20","368","1"
"29","90","1"
"20","367","2"
"28","123","3"
"14","558","5"
"29","94","1"
"27","154","2"
"20","372","6"
"30","66","1"
"14","563","1"
"20","378","4"
"27","162","2"
"14","566","1"
"25","220","1"
"18","444","1"
"14","569","2"
"27","164","1"
"12","630","1"
"1996","4621","1"
"30","77","1"
"31","46","1"
"31","48","1"
"2","948","1"
"24","267","1"
"2067","2471","1"
"12","641","1"
"25","239","1"
"2067","2473","1"
"30","80","1"
"31","50","1"
"12","646","2"
"29","119","3"
"20","399","2"
"31","60","5"
"29","123","1"
"26","216","2"
"25","248","1"
"3002","39029","1"
"14","592","1"
"31","66","1"
"7982","15730","1"
"7982","15731","1"
"7982","15732","1"
"29","131","1"
"31","68","2"
"3002","39028","1"
"20","408","2"
"20","412","2"
"31","65","4"
"31","76","10"
"31","77","1"
"28","171","1"
"31","69","4"
"20","418","1"
"14","608","3"
"29","144","2"
"2","979","3"
"31","81","2"
"2072","2329","1"
"18","474","2"
"31","87","1"
"1945","6290","1"
"31","89","2"
"2067","2509","2"
"29","125","1"
"30","123","1"
"14","620","3"
"14","621","2"
"2067","2514","1"
"2","992","3"
"31","94","7"
"6","873","1"
"31","99","2"
"17","528","1"
"29","162","1"
"31","102","1"
"10","753","2"
"29","156","1"
"30","133","4"
"20","402","1"
"26","262","2"
"2","1007","3"
"14","636","2"
"29","136","1"
"31","90","3"
"4","894","1"
"33","51","2"
"30","145","2"
"14","641","1"
"30","147","5"
"29","179","1"
"30","149","1"
"31","119","7"
"18","520","1"
"27","200","1"
"30","125","1"
"31","123","2"
"28","216","3"
"31","125","1"
"20","467","3"
"2072","2392","1"
"2082","2083","1"
"31","51","4"
"14","657","1"
"31","131","6"
"24","349","1"
"31","133","8"
"13","692","1"
"24","346","3"
"29","192","1"
"13","689","1"
"33","76","4"
"33","77","1"
"14","667","2"
"33","69","1"
"956","37003","1"
"27","267","2"
"31","144","8"
"20","486","1"
"29","198","1"
"31","147","5"
"30","178","1"
"33","84","1"
"20","485","1"
"27","254","1"
"33","80","1"
"33","85","2"
"33","82","2"
"18","558","3"
"27","280","1"
"20","497","1"
"24","372","1"
"30","99","1"
"15","656","1"
"15","657","1"
"12","751","1"
"31","162","1"
"30","194","1"
"14","689","1"
"18","569","1"
"30","162","2"
"31","153","1"
"28","262","1"
"17","499","1"
"25","357","1"
"2","1035","1"
"2","1036","5"
"28","267","2"
"27","221","2"
"6","951","1"
"33","94","2"
"10","829","1"
"31","101","1"
"26","335","1"
"33","119","4"
"24","399","2"
"30","94","2"
"1321","25730","1"
"33","123","2"
"25","372","1"
"31","186","1"
"33","126","1"
"30","129","1"
"26","345","1"
"24","408","1"
"29","253","1"
"11","810","1"
"14","721","2"
"31","195","2"
"31","196","1"
"6","972","1"
"33","133","1"
"15","689","1"
"31","200","3"
"17","635","1"
"27","326","1"
"30","156","1"
"2","1103","7"
"30","235","1"
"29","267","1"
"29","269","1"
"33","143","1"
"33","147","2"
"14","659","2"
"2067","2631","1"
"17","646","1"
"20","553","1"
"1800","10911","1"
"6","990","1"
"31","216","3"
"2","1116","1"
"2","1117","1"
"14","746","1"
"30","251","1"
"2","1120","1"
"3198","33117","1"
"30","254","1"
"33","162","1"
"27","348","1"
"33","149","1"
"14","754","3"
"14","755","1"
"20","569","2"
"33","165","2"
"14","758","2"
"20","573","1"
"1731","13048","1"
"29","293","1"
"1935","6711","1"
"2067","2611","1"
"27","346","1"
"29","300","1"
"31","239","2"
"14","767","1"
"36","65","2"
"13","800","1"
"18","646","1"
"26","399","2"
"10","896","1"
"2","1145","1"
"14","773","2"
"27","372","2"
"31","248","3"
"6","989","2"
"31","251","2"
"28","345","1"
"31","253","2"
"27","375","1"
"2","1018","1"
"12","692","3"
"3198","33116","1"
"25","378","1"
"25","430","1"
"13","773","1"
"33","144","2"
"33","200","3"
"30","294","1"
"29","325","1"
"31","262","3"
"12","840","3"
"31","267","4"
"12","856","1"
"26","421","1"
"2","1141","1"
"25","267","1"
"10","868","2"
"14","800","2"
"33","211","2"
"26","430","1"
"12","865","2"
"15","773","1"
"13","836","1"
"33","216","1"
"2082","2235","2"
"33","218","1"
"31","279","1"
"29","345","1"
"15","779","1"
"2954","40744","1"
"2","1184","1"
"9509","34134","1"
"37","96","1"
"20","620","3"
"30","168","2"
"2","1180","1"
"31","172","3"
"12","881","1"
"28","372","3"
"4","1054","1"
"27","420","1"
"27","421","1"
"33","235","1"
"20","640","1"
"20","641","1"
"4","1135","1"
"3743","16302","1"
"3841","13034","1"
"12","640","2"
"29","367","1"
"28","399","1"
"4","1116","1"
"2087","2108","2"
"4","1145","1"
"29","372","1"
"33","248","1"
"12","691","1"
"3841","13275","1"
"14","840","2"
"20","656","1"
"20","657","1"
"17","751","1"
"20","659","2"
"2077","2276","1"
"30","348","1"
"33","253","4"
"31","202","2"
"13","881","1"
"13","629","2"
"33","242","1"
"20","667","1"
"26","482","1"
"36","172","2"
"30","60","1"
"28","420","1"
"33","269","2"
"2054","2984","1"
"2","1231","1"
"14","861","1"
"2","934","1"
"10","987","1"
"12","926","1"
"26","493","1"
"40","60","3"
"31","64","1"
"40","52","3"
"2","1241","1"
"18","746","1"
"33","282","1"
"31","345","1"
"33","284","1"
"40","68","2"
"38","131","1"
"37","162","1"
"38","133","1"
"29","412","1"
"2","1251","1"
"40","64","1"
"25","540","1"
"31","349","3"
"40","76","3"
"25","528","1"
"20","689","1"
"40","80","2"
"31","129","2"
"28","129","1"
"33","245","1"
"1935","6854","1"
"14","891","1"
"20","430","1"
"38","149","1"
"20","708","1"
"31","368","1"
"13","926","1"
"30","248","2"
"27","495","1"
"31","372","3"
"24","590","1"
"31","346","1"
"14","602","3"
"40","69","2"
"2067","2497","1"
"27","502","1"
"5436","29179","1"
"27","251","3"
"13","939","1"
"2013","4371","1"
"35","256","1"
"13","921","2"
"33","323","2"
"1600","17283","1"
"37","186","1"
"2","1287","1"
"28","346","1"
"12","979","1"
"11866","26316","1"
"27","216","3"
"2","1292","1"
"14","921","1"
"2","1293","3"
"30","427","1"
"20","602","1"
"28","491","1"
"31","399","2"
"30","431","2"
"27","522","1"
"40","123","1"
"7965","16293","1"
"15","894","1"
"39","156","1"
"1881","8292","1"
"20","745","1"
"33","346","1"
"31","408","2"
"20","751","5"
"26","566","1"
"20","753","4"
"14","939","1"
"30","444","1"
"28","502","1"
"11","1036","1"
"37","216","2"
"26","573","2"
"24","635","2"
"31","419","1"
"31","420","1"
"20","763","3"
"40","144","5"
"37","238","1"
"1292","26867","1"
"13","984","1"
"30","205","1"
"31","413","2"
"33","367","1"
"11","840","2"
"31","431","1"
"20","773","2"
"10","1074","1"
"33","372","1"
"25","621","1"
"27","559","1"
"25","620","1"
"20","779","2"
"37","217","1"
"27","561","2"
"43","69","1"
"27","566","1"
"26","592","1"
"31","444","2"
"3974","9284","1"
"20","787","2"
"29","508","1"
"29","510","1"
"13","1007","3"
"25","635","1"
"14","975","1"
"2","1351","1"
"14","974","1"
"43","82","3"
"2","1353","1"
"30","487","1"
"2","1356","2"
"29","520","1"
"37","218","1"
"44","57","1"
"13","1018","1"
"2","1361","1"
"31","462","4"
"33","399","5"
"37","278","1"
"37","279","1"
"33","402","1"
"17","899","1"
"28","559","1"
"25","641","1"
"25","657","1"
"33","179","1"
"33","408","2"
"30","495","1"
"14","1002","1"
"4","1292","1"
"25","608","1"
"10","1129","1"
"4051","6916","1"
"28","573","3"
"14","987","1"
"33","419","1"
"37","261","1"
"2092","2093","1"
"13","1033","1"
"31","135","2"
"25","628","1"
"13","1046","1"
"20","829","1"
"30","520","1"
"30","522","1"
"17","926","1"
"6","1267","1"
"31","491","1"
"36","235","1"
"27","620","1"
"13","1054","1"
"15","993","1"
"40","219","2"
"25","251","1"
"20","464","1"
"26","657","1"
"14","1029","1"
"40","225","1"
"29","566","1"
"40","227","1"
"14","979","6"
"31","502","2"
"12","1098","1"
"30","76","4"
"840","40797","1"
"1969","5970","1"
"14","1030","1"
"12","1103","1"
"28","563","1"
"43","144","2"
"33","155","3"
"44","109","1"
"31","519","2"
"31","520","2"
"2","1419","2"
"2","1421","4"
"40","243","5"
"2","1420","5"
"46","60","1"
"43","154","2"
"12","1116","1"
"44","124","1"
"33","376","2"
"40","251","2"
"27","60","2"
"29","594","1"
"28","620","2"
"40","65","2"
"12","1121","2"
"2","1435","1"
"20","868","1"
"37","346","1"
"30","569","1"
"33","202","1"
"40","262","2"
"1610","17114","1"
"20","449","2"
"40","94","2"
"12","924","1"
"17","980","1"
"29","608","1"
"2094","2103","1"
"40","267","1"
"15","1046","1"
"40","217","1"
"37","366","1"
"31","553","1"
"12","1143","1"
"12","1144","1"
"20","894","2"
"31","557","1"
"31","558","3"
"17","990","1"
"2","1453","1"
"31","561","2"
"13","1120","1"
"10","1208","1"
"28","657","1"
"20","896","3"
"26","721","1"
"28","659","1"
"15","1054","1"
"31","569","2"
"27","694","1"
"2083","2489","1"
"44","166","1"
"14","1100","1"
"11","1194","1"
"31","140","4"
"14","1103","1"
"12","1165","1"
"43","205","1"
"39","325","1"
"13","1135","1"
"46","101","1"
"2067","3002","1"
"25","763","1"
"33","522","1"
"13","1143","1"
"48","49","1"
"25","745","2"
"44","164","2"
"14","1116","1"
"14","1117","1"
"31","590","1"
"2","1488","3"
"1729","13490","1"
"33","154","1"
"2","1466","1"
"30","131","2"
"43","225","1"
"2","1497","1"
"26","754","1"
"20","940","1"
"14","1128","1"
"28","692","3"
"1292","27048","1"
"31","559","2"
"31","602","1"
"13","423","1"
"0","1568","1"
"46","133","1"
"2","1508","1"
"2","1131","1"
"31","421","2"
"24","763","1"
"27","722","1"
"14","1141","4"
"14","1142","1"
"14","1143","1"
"12","1205","1"
"14","1145","1"
"38","402","1"
"31","620","1"
"15","1116","1"
"49","64","1"
"49","65","2"
"47","125","1"
"2082","2580","1"
"47","129","1"
"29","689","1"
"28","721","1"
"40","349","3"
"11","1250","1"
"31","631","3"
